experiment_id,source,signal,start_time,end_time,interval_type,reason,method
EXP_001,hydrolyzer,current,2026-05-04T08:09:59+00:00,2026-05-04T08:10:15+00:00,GAP_EXCEEDS_MAX,gap 16s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,current,2026-05-04T08:29:59+00:00,2026-05-04T08:30:25+00:00,GAP_EXCEEDS_MAX,gap 26s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,current,2026-05-04T09:09:59+00:00,2026-05-04T09:10:06+00:00,GAP_EXCEEDS_MAX,gap 7s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,current,2026-05-04T09:31:39+00:00,2026-05-04T09:32:08+00:00,GAP_EXCEEDS_MAX,gap 29s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,power,2026-05-04T08:09:59+00:00,2026-05-04T08:10:15+00:00,GAP_EXCEEDS_MAX,gap 16s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,power,2026-05-04T08:29:59+00:00,2026-05-04T08:30:25+00:00,GAP_EXCEEDS_MAX,gap 26s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,power,2026-05-04T09:09:59+00:00,2026-05-04T09:10:06+00:00,GAP_EXCEEDS_MAX,gap 7s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,power,2026-05-04T09:31:39+00:00,2026-05-04T09:32:08+00:00,GAP_EXCEEDS_MAX,gap 29s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,voltage,2026-05-04T08:09:59+00:00,2026-05-04T08:10:15+00:00,GAP_EXCEEDS_MAX,gap 16s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,voltage,2026-05-04T08:29:59+00:00,2026-05-04T08:30:25+00:00,GAP_EXCEEDS_MAX,gap 26s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,voltage,2026-05-04T09:09:59+00:00,2026-05-04T09:10:06+00:00,GAP_EXCEEDS_MAX,gap 7s > max 5s (5x nominal 1s),
EXP_001,hydrolyzer,voltage,2026-05-04T09:31:39+00:00,2026-05-04T09:32:08+00:00,GAP_EXCEEDS_MAX,gap 29s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,acid_pH,2026-05-11T10:05:55+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 485s > max 25s (5x nominal 5s),
EXP_002,hydrolyzer,base_pH,2026-05-11T10:05:55+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 485s > max 25s (5x nominal 5s),
EXP_002,hydrolyzer,conductivity,2026-05-11T10:05:55+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 485s > max 25s (5x nominal 5s),
EXP_002,hydrolyzer,current,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,current_setpoint,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,electrolyte_temperature,2026-05-11T10:05:55+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 485s > max 25s (5x nominal 5s),
EXP_002,hydrolyzer,flow,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,power,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,pressure,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_002,hydrolyzer,voltage,2026-05-11T10:05:59+00:00,2026-05-11T10:14:00+00:00,GAP_EXCEEDS_MAX,gap 481s > max 5s (5x nominal 1s),
EXP_006,absorber,air_flow,2026-04-20T10:17:59+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1921s > max 5s (5x nominal 1s),
EXP_006,absorber,co2_in_ppm,2026-04-20T10:17:58+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1922s > max 10s (5x nominal 2s),
EXP_006,absorber,co2_out_ppm,2026-04-20T10:17:58+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1922s > max 10s (5x nominal 2s),
EXP_006,absorber,pressure_drop,2026-04-20T10:17:58+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1922s > max 10s (5x nominal 2s),
EXP_006,absorber,solvent_flow,2026-04-20T10:17:58+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1922s > max 10s (5x nominal 2s),
EXP_006,absorber,solvent_pH,2026-04-20T10:17:55+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1925s > max 25s (5x nominal 5s),
EXP_006,absorber,solvent_temperature,2026-04-20T10:17:55+00:00,2026-04-20T10:50:00+00:00,GAP_EXCEEDS_MAX,gap 1925s > max 25s (5x nominal 5s),
